,date,daily_positive,mean
94,2021-03-12 17:00:00,19765.537109375,18058.772042410714
95,2021-03-13 17:00:00,19872.96875,18322.892020089286
96,2021-03-14 17:00:00,19405.5078125,18596.731584821428
97,2021-03-15 17:00:00,18384.91796875,18877.556082589286
98,2021-03-16 17:00:00,19425.34375,19162.624441964286
99,2021-03-17 17:00:00,20212.748046875,19449.217912946428
100,2021-03-18 17:00:00,21075.625,19734.6640625
101,2021-03-19 17:00:00,21737.4453125,20016.365234375
102,2021-03-20 17:00:00,21801.166015625,20291.82198660714
103,2021-03-21 17:00:00,21273.361328125,20558.658203125
104,2021-03-22 17:00:00,20176.798828125,20814.641183035714
105,2021-03-23 17:00:00,21126.7578125,21057.700334821428
106,2021-03-24 17:00:00,21810.466796875,21285.945870535714
107,2021-03-25 17:00:00,22557.779296875,21497.682198660714
108,2021-03-26 17:00:00,23093.615234375,21691.420758928572
109,2021-03-27 17:00:00,23022.4609375,21865.891462053572
110,2021-03-28 17:00:00,22352.458984375,22020.048270089286
111,2021-03-29 17:00:00,21107.986328125,22153.075055803572
112,2021-03-30 17:00:00,21905.955078125,22264.38895089286
113,2021-03-31 17:00:00,22435.197265625,22353.636160714286
114,2021-04-01 17:00:00,23027.181640625,22420.69363839286
115,2021-04-02 17:00:00,23408.3984375,22465.662667410714
116,2021-04-03 17:00:00,23184.84765625,22488.860770089286
117,2021-04-04 17:00:00,22366.119140625,22490.81222098214
118,2021-04-05 17:00:00,20977.962890625,22472.237444196428
119,2021-04-06 17:00:00,21638.560546875,22434.038225446428
120,2021-04-07 17:00:00,22037.91796875,22377.284040178572
121,2021-04-08 17:00:00,22508.5625,22303.19559151786
122,2021-04-09 17:00:00,22777.908203125,22213.125558035714
123,2021-04-10 17:00:00,22452.759765625,22108.541573660714
124,2021-04-11 17:00:00,21543.3671875,21991.00558035714
125,2021-04-12 17:00:00,20076.005859375,21862.15457589286
126,2021-04-13 17:00:00,20669.234375,21723.67940848214
127,2021-04-14 17:00:00,21013.298828125,21577.305245535714
128,2021-04-15 17:00:00,21440.8203125,21424.770647321428
129,2021-04-16 17:00:00,21679.16796875,21267.807756696428
130,2021-04-17 17:00:00,21334.966796875,21108.123046875
131,2021-04-18 17:00:00,20418.1640625,20947.379743303572
132,2021-04-19 17:00:00,18954.59765625,20787.178571428572
133,2021-04-20 17:00:00,19562.28515625,20629.04296875
134,2021-04-21 17:00:00,19930.822265625,20474.403459821428
135,2021-04-22 17:00:00,20392.0859375,20324.58426339286
136,2021-04-23 17:00:00,20672.623046875,20180.792131696428
137,2021-04-24 17:00:00,20378.158203125,20044.10518973214
138,2021-04-25 17:00:00,19517.681640625,19915.46484375
139,2021-04-26 17:00:00,18116.03515625,19795.67020089286
140,2021-04-27 17:00:00,18790.203125,19685.37276785714
141,2021-04-28 17:00:00,19228.732421875,19585.07421875
142,2021-04-29 17:00:00,19762.439453125,19495.12472098214
143,2021-04-30 17:00:00,20116.82421875,19415.72488839286
144,2021-05-01 17:00:00,19896.5859375,19346.928850446428
145,2021-05-02 17:00:00,19109.71875,19288.6484375
146,2021-05-03 17:00:00,17780.111328125,19240.659319196428
147,2021-05-04 17:00:00,18523.85546875,19202.60965401786
148,2021-05-05 17:00:00,19028.666015625,19174.028738839286
149,2021-05-06 17:00:00,19624.6015625,19154.33761160714
150,2021-05-07 17:00:00,20036.490234375,19142.861328125
151,2021-05-08 17:00:00,19868.435546875,19138.83984375
152,2021-05-09 17:00:00,19127.94921875,19141.444196428572
153,2021-05-10 17:00:00,17838.517578125,19149.787946428572
154,2021-05-11 17:00:00,18615.935546875,19162.942243303572
155,2021-05-12 17:00:00,19147.732421875,19179.951729910714
156,2021-05-13 17:00:00,19763.861328125,19199.84598214286
157,2021-05-14 17:00:00,20189.169921875,19221.657366071428
158,2021-05-15 17:00:00,20027.875,19244.434430803572
159,2021-05-16 17:00:00,19287.677734375,19267.252790178572
160,2021-05-17 17:00:00,17992.369140625,19289.231584821428
161,2021-05-18 17:00:00,18758.125,19309.544363839286
162,2021-05-19 17:00:00,19272.90625,19327.426339285714
163,2021-05-20 17:00:00,19867.224609375,19342.192522321428
164,2021-05-21 17:00:00,20266.49609375,19353.239118303572
165,2021-05-22 17:00:00,20075.572265625,19360.05301339286
166,2021-05-23 17:00:00,19302.84765625,19362.220145089286
167,2021-05-24 17:00:00,17972.82421875,19359.42801339286
168,2021-05-25 17:00:00,18702.392578125,19351.466238839286
169,2021-05-26 17:00:00,19180.28515625,19338.23465401786
170,2021-05-27 17:00:00,19737.748046875,19319.73800223214
171,2021-05-28 17:00:00,20100.927734375,19296.085379464286
172,2021-05-29 17:00:00,19875.40625,19267.490234375
173,2021-05-30 17:00:00,19070.244140625,19234.261160714286
174,2021-05-31 17:00:00,17710.58984375,19196.79910714286
175,2021-06-01 17:00:00,18413.94140625,19155.591796875
176,2021-06-02 17:00:00,18869.5703125,19111.203962053572
177,2021-06-03 17:00:00,19409.1875,19064.266741071428
178,2021-06-04 17:00:00,19759.361328125,19015.471540178572
179,2021-06-05 17:00:00,19525.982421875,18965.553850446428
180,2021-06-06 17:00:00,18718.380859375,18915.287667410714
181,2021-06-07 17:00:00,17361.865234375,18865.469866071428
182,2021-06-08 17:00:00,18074.025390625,18816.91043526786
183,2021-06-09 17:00:00,18544.12890625,18770.418805803572
184,2021-06-10 17:00:00,19103.791015625,18726.79073660714
185,2021-06-11 17:00:00,19479.4140625,18686.798270089286
186,2021-06-12 17:00:00,19276.64453125,18651.178571428572
187,2021-06-13 17:00:00,18504.478515625,18620.62109375
188,2021-06-14 17:00:00,17187.82421875,18595.75809151786
189,2021-06-15 17:00:00,17943.8125,18577.15625
190,2021-06-16 17:00:00,18461.16015625,18565.303571428572
191,2021-06-17 17:00:00,19070.92578125,18560.608537946428
192,2021-06-18 17:00:00,19498.873046875,18563.38839285714
193,2021-06-19 17:00:00,19349.9921875,18573.866629464286
194,2021-06-20 17:00:00,18632.58984375,18592.16824776786
195,2021-06-21 17:00:00,17370.87109375,18618.317801339286
196,2021-06-22 17:00:00,18181.2421875,18652.236328125
197,2021-06-23 17:00:00,18751.728515625,18693.74609375
198,2021-06-24 17:00:00,19412.681640625,18742.568359375
199,2021-06-25 17:00:00,19889.193359375,18798.32840401786
200,2021-06-26 17:00:00,19785.609375,18860.559430803572
201,2021-06-27 17:00:00,19109.638671875,18928.70926339286
202,2021-06-28 17:00:00,17884.931640625,19002.146484375
203,2021-06-29 17:00:00,18727.40234375,19080.169363839286
204,2021-06-30 17:00:00,19324.646484375,19162.014787946428
205,2021-07-01 17:00:00,20006.66015625,19246.86886160714
206,2021-07-02 17:00:00,20498.251953125,19333.87723214286
207,2021-07-03 17:00:00,20403.57421875,19422.15792410714
208,2021-07-04 17:00:00,19730.212890625,19510.811383928572
209,2021-07-05 17:00:00,18501.80078125,19598.935546875
210,2021-07-06 17:00:00,19334.30859375,19685.63643973214
211,2021-07-07 17:00:00,19915.48046875,19770.04129464286
212,2021-07-08 17:00:00,20575.548828125,19851.311104910714
